196 max = 137.29999999999933, mean = 51.30999999999997
197 max = 224.09999999999863, mean = 72.74333333333317
198 max = 194.3999999999995, mean = 65.17999999999992
199 max = 351.10000000000196, mean = 97.60333333333318
200 max = 344.9000000000009, mean = 93.08666666666646
201 max = 306.89999999999964, mean = 79.89999999999985
202 max = 250.99999999999892, mean = 64.87833333333322
203 max = 316.29999999999916, mean = 83.9349999999998
204 max = 621.8000000000079, mean = 121.82666666666661
205 max = 371.9000000000026, mean = 106.11833333333313
206 max = 195.39999999999884, mean = 60.80833333333328
207 max = 250.49999999999918, mean = 86.89833333333318
208 max = 438.2000000000015, mean = 75.76666666666657
209 max = 372.9000000000025, mean = 96.30333333333316
210 max = 351.5000000000027, mean = 94.99999999999991
211 max = 423.000000000003, mean = 132.18999999999986
212 max = 309.40000000000083, mean = 115.99166666666638
213 max = 420.2000000000056, mean = 118.73666666666647
214 max = 346.7000000000022, mean = 103.49333333333308
215 max = 368.40000000000293, mean = 79.31666666666665
216 max = 432.30000000000473, mean = 95.69499999999987
217 max = 490.0000000000042, mean = 111.66999999999987
218 max = 447.40000000000276, mean = 125.613333333333
219 max = 576.9000000000093, mean = 159.67833333333368
220 max = 582.20000000001, mean = 106.58833333333342
221 max = 496.30000000000746, mean = 138.99999999999997
222 max = 718.300000000018, mean = 143.89333333333337
223 max = 496.8000000000062, mean = 140.18666666666675
224 max = 502.0000000000062, mean = 142.23833333333332
225 max = 462.100000000005, mean = 122.31833333333331
226 max = 910.8000000000194, mean = 114.63333333333338
227 max = 502.40000000000435, mean = 121.66833333333334
228 max = 429.8000000000027, mean = 95.06833333333311
229 max = 432.70000000000584, mean = 124.75666666666675
230 max = 434.50000000000415, mean = 95.8333333333331
231 max = 382.8000000000023, mean = 118.49666666666644
232 max = 532.6000000000085, mean = 135.75500000000005
233 max = 578.2000000000071, mean = 149.23833333333334
234 max = 464.90000000000396, mean = 166.61333333333337
235 max = 570.10000000001, mean = 188.44000000000014
236 max = 761.8000000000094, mean = 177.3100000000005
237 max = 699.8000000000133, mean = 178.54333333333406
238 max = 707.4000000000106, mean = 140.0549999999999
239 max = 716.7000000000144, mean = 172.5916666666672
240 max = 388.80000000000337, mean = 107.7049999999999
241 max = 428.90000000000396, mean = 76.23999999999994
242 max = 581.8000000000094, mean = 114.99333333333327
243 max = 522.0000000000098, mean = 117.74333333333331
244 max = 675.6000000000145, mean = 145.33333333333368
245 max = 484.00000000000875, mean = 126.11000000000023
246 max = 749.1000000000117, mean = 119.70833333333353
247 max = 302.39999999999935, mean = 86.99166666666643
248 max = 833.1000000000209, mean = 163.59500000000074
249 max = 994.700000000022, mean = 179.79500000000087
250 max = 453.30000000000507, mean = 144.20833333333337
251 max = 687.1000000000137, mean = 177.39333333333394
252 max = 527.3000000000076, mean = 102.23500000000003
253 max = 326.4000000000011, mean = 109.26666666666634
254 max = 564.8000000000096, mean = 90.30499999999985
255 max = 641.4000000000111, mean = 162.88500000000042
256 max = 481.30000000000905, mean = 143.0333333333334
257 max = 1023.6000000000267, mean = 152.6466666666679
258 max = 733.9000000000158, mean = 188.7650000000008
259 max = 753.0000000000126, mean = 178.08000000000087
260 max = 711.9000000000157, mean = 158.39833333333405
261 max = 434.20000000000357, mean = 121.80666666666657
262 max = 524.0000000000051, mean = 129.51000000000016
263 max = 552.6000000000093, mean = 149.1783333333336
264 max = 820.9000000000183, mean = 200.89833333333507
265 max = 732.3000000000173, mean = 142.33333333333363
266 max = 754.100000000019, mean = 170.78666666666737
267 max = 953.1000000000199, mean = 182.48166666666754
268 max = 492.50000000000574, mean = 99.56666666666662
269 max = 524.5000000000057, mean = 163.9633333333335
270 max = 857.1000000000225, mean = 196.50833333333452
271 max = 853.9000000000209, mean = 188.32333333333415
272 max = 572.8000000000077, mean = 139.77666666666656
273 max = 443.50000000000176, mean = 120.545
274 max = 451.5000000000042, mean = 132.63500000000002
275 max = 662.2000000000106, mean = 171.43666666666658
276 max = 548.0000000000082, mean = 140.76499999999996
277 max = 847.7000000000218, mean = 168.6500000000007
278 max = 850.4000000000173, mean = 135.56500000000014
279 max = 635.4000000000099, mean = 136.39000000000013
280 max = 562.000000000006, mean = 154.10166666666643
281 max = 451.8000000000062, mean = 131.953333333333
282 max = 483.8000000000049, mean = 106.07833333333323
283 max = 603.5000000000127, mean = 161.33333333333346
284 max = 731.3000000000181, mean = 203.2133333333341
285 max = 689.6000000000154, mean = 131.94500000000036
286 max = 760.7000000000126, mean = 210.1766666666674
287 max = 450.900000000003, mean = 137.3466666666664
288 max = 431.3000000000032, mean = 126.08666666666646
289 max = 655.8000000000098, mean = 157.9600000000003
290 max = 610.8000000000085, mean = 168.45166666666663
291 max = 819.2000000000182, mean = 160.57000000000022
292 max = 645.9000000000142, mean = 153.78833333333355
293 max = 579.800000000011, mean = 187.76500000000044
294 max = 512.8000000000069, mean = 153.5966666666665
295 max = 487.0000000000057, mean = 146.56166666666644
296 max = 302.9999999999999, mean = 77.63999999999983
297 max = 363.1000000000024, mean = 103.59333333333305
298 max = 343.90000000000225, mean = 115.53499999999977
299 max = 407.2000000000029, mean = 96.0533333333332
300 max = 527.3000000000056, mean = 137.73166666666668
301 max = 600.5000000000093, mean = 121.8466666666667
302 max = 320.1999999999995, mean = 130.0966666666663
303 max = 739.8000000000111, mean = 123.67333333333345
304 max = 365.4000000000013, mean = 111.93666666666648
305 max = 441.700000000008, mean = 114.87166666666671
306 max = 372.40000000000447, mean = 72.89166666666665
307 max = 334.19999999999914, mean = 97.23499999999967
308 max = 299.10000000000014, mean = 87.99999999999974
309 max = 466.8000000000069, mean = 83.09666666666654
310 max = 501.9000000000097, mean = 93.80833333333324
311 max = 367.20000000000033, mean = 93.57833333333312
312 max = 371.0000000000002, mean = 114.62499999999984
313 max = 277.4999999999993, mean = 71.01499999999989
314 max = 250.69999999999845, mean = 61.46333333333325
315 max = 292.0000000000003, mean = 68.15666666666657
316 max = 423.6000000000049, mean = 97.06499999999986
317 max = 738.9000000000115, mean = 140.8100000000002
318 max = 562.1000000000051, mean = 131.00166666666658
319 max = 523.8000000000086, mean = 150.1316666666666
320 max = 405.80000000000416, mean = 132.99166666666645
321 max = 510.7000000000072, mean = 123.99333333333311
322 max = 531.2000000000065, mean = 133.39166666666657
323 max = 753.7000000000144, mean = 186.7416666666671
324 max = 760.5000000000138, mean = 168.1483333333336
325 max = 597.3000000000126, mean = 179.23333333333377
326 max = 618.3000000000097, mean = 186.21166666666733
